sub_d_id	sub_d	tot_pop	tot_female	tot_male	b_tot_ill	b_male_ill	b_female_ill	e_tot_ill	e_male_ill	e_female_ill	t_tot_ill	t_male_ill	t_female_ill	p_tot_ill	p_male_ill	p_female_ill
27319	Aileu vila	17638	8530	9108	10154	5087	5067	12491	6401	6090	7580	3751	3829	9083	4506	4577
27323	Ainaro	12317	6037	6280	6285	3087	3198	8416	4185	4231	5199	2512	2687	6230	3073	3157
27371	Alas	6029	2936	3093	3325	1654	1671	4592	2335	2257	2600	1292	1308	3234	1611	1623
27334	Atabae	9135	4497	4638	6082	2978	3104	7695	3823	3872	4933	2391	2542	6036	2948	3088
47091	Atauro	7450	3842	3608	3772	1645	2127	5896	2743	3153	3060	1289	1771	3994	1741	2253
27352	Atsabe	14625	7465	7160	11579	5424	6155	12702	6084	6618	10818	5032	5786	11549	5428	6121
27327	Baguia	8072	4134	3938	4579	2115	2464	6191	2963	3228	3765	1676	2089	4299	1924	2375
27335	Balibo	12491	6169	6322	8618	4155	4463	11236	5598	5638	7278	3441	3837	9363	4575	4788
27365	Barique/Natarbora	4214	1969	2245	1878	880	998	2763	1380	1383	1416	660	756	1874	874	1000
82645	Baucau	38915	19231	19684	14645	6985	7660	21956	10854	11102	11375	5377	5998	15767	7520	8247
27362	Bazartete	20331	9956	10375	11400	5435	5965	15504	7755	7749	9064	4218	4846	11015	5236	5779
27336	Bobonaro	20177	10458	9719	14722	6806	7916	17371	8188	9183	12717	5799	6918	13950	6410	7540
27337	Cailaco	8448	4301	4147	6053	2881	3172	7155	3507	3648	5384	2523	2861	5905	2810	3095
82648	Cristo Rei	46090	21917	24173	13201	6477	6724	22276	11235	11041	9903	4811	5092	15748	7781	7967
82649	Dom Aleixo	89658	41179	48479	20152	10133	10019	41826	21623	20203	15315	7645	7670	29132	14965	14167
27353	Ermera	28422	14021	14401	16710	7884	8826	21484	10492	10992	14561	6744	7817	16747	7930	8817
27372	Fatuberliu	6014	2896	3118	2888	1437	1451	4268	2201	2067	2107	1040	1067	2826	1416	1410
27340	Fatululic	1632	846	786	967	461	506	1411	671	740	784	367	417	1043	483	560
27341	Fatumean	2847	1414	1433	1594	750	844	2557	1258	1299	1477	700	777	1673	790	883
27342	Forohem	3588	1835	1753	2022	960	1062	2904	1392	1512	1903	883	1020	2154	1019	1135
27354	Hatolia	29157	14533	14624	21867	10452	11415	26015	12814	13201	19644	9194	10450	21294	10150	11144
27325	Hatu-Builico	9647	4845	4802	6466	3050	3416	8022	3897	4125	5756	2678	3078	6481	3072	3409
27324	Hatu-Udo	8236	4056	4180	4820	2386	2434	5845	2935	2910	4058	1968	2090	4644	2285	2359
27357	Iliomar	5981	3152	2829	3965	1728	2237	5272	2424	2848	3539	1531	2008	4061	1811	2250
27366	Laclo	6356	3129	3227	4586	2269	2317	5857	2951	2906	3801	1868	1933	4629	2287	2342
27367	Laclubar	9911	5010	4901	7067	3354	3713	8197	3973	4224	6271	2923	3348	6777	3188	3589
27380	Lacluta	5011	2481	2530	3267	1499	1768	4130	2014	2116	2814	1273	1541	3297	1530	1767
27330	Laga	12321	6190	6131	7893	3790	4103	10025	4937	5088	6485	3062	3423	7585	3644	3941
27368	Laleia	2713	1334	1379	1481	745	736	2128	1081	1047	1090	548	542	1496	754	742
27320	Laulara	6132	2965	3167	3739	1835	1904	4933	2512	2421	2744	1289	1455	3206	1540	1666
27358	Lautem	11995	6086	5909	6099	2716	3383	9297	4437	4860	5364	2312	3052	6413	2837	3576
27355	Letefoho	17976	8866	9110	12958	6261	6697	15239	7560	7679	11467	5475	5992	12428	6005	6423
27363	Liquica	17839	8787	9052	10143	4809	5334	13637	6763	6874	8449	3929	4520	9818	4638	5180
27321	Liquidoe	5424	2600	2824	3082	1544	1538	4014	2067	1947	2440	1219	1221	2954	1494	1460
27338	Lolotoe	6115	3184	2931	3225	1500	1725	4995	2386	2609	2477	1096	1381	3148	1435	1713
27359	Lospalos	25125	12822	12303	10823	4835	5988	17590	8318	9272	8476	3528	4948	11715	5141	6574
27360	Luro	4534	2291	2243	3191	1504	1687	3940	1908	2032	2773	1289	1484	2993	1395	1598
27339	Maliana	21227	10622	10605	10477	4931	5546	13992	6778	7214	8889	4088	4801	10744	5080	5664
27369	Manatuto	9895	4823	5072	4765	2290	2475	6870	3440	3430	3584	1736	1848	5172	2555	2617
27364	Maubara	15681	7726	7955	11591	5551	6040	14062	6984	7078	9870	4646	5224	11413	5476	5937
27326	Maubisse	18408	9065	9343	12828	6332	6496	15166	7592	7574	11428	5606	5822	12281	6044	6237
27344	Maukatar	5491	2751	2740	3161	1502	1659	4425	2182	2243	2646	1236	1410	3103	1480	1623
27349	Metinaro	4039	1922	2117	2316	1145	1171	3185	1644	1541	1458	718	740	2420	1229	1191
82650	Nein Feto	22494	10823	11671	5304	2523	2781	10685	5301	5384	3557	1720	1837	6963	3444	3519
27375	Nitibe	9433	4796	4637	7234	3457	3777	8642	4194	4448	6987	3351	3636	7370	3556	3814
27376	Oesilo	8200	4223	3977	5926	2827	3099	7022	3358	3664	5626	2683	2943	5939	2838	3101
27381	Ossu	12885	6628	6257	8169	3766	4403	10053	4747	5306	6622	2985	3637	7684	3479	4205
82652	Pante Macasar	28929	14510	14419	16440	7839	8601	21644	10460	11184	15360	7264	8096	17455	8334	9121
27379	Passabe	6207	3265	2942	5002	2303	2699	5733	2676	3057	4891	2250	2641	5032	2322	2710
27331	Quelicai	14400	7359	7041	8767	3991	4776	11266	5309	5957	7325	3273	4052	8311	3755	4556
27356	Railaco	8703	4226	4477	5423	2672	2751	6776	3425	3351	3994	1940	2054	5319	2636	2683
27322	Remexio	8580	4180	4400	5220	2576	2644	6740	3391	3349	4384	2174	2210	5042	2503	2539
27373	Same	23565	11490	12075	12419	6039	6380	17101	8571	8530	10265	4915	5350	12842	6278	6564
27370	Soibada	2576	1290	1286	1275	639	636	1829	905	924	900	445	455	1161	566	595
82646	Suai	21752	10706	11046	10067	4835	5232	15000	7392	7608	8414	3971	4443	10630	5126	5504
27346	Tilomar	5998	2986	3012	3251	1565	1686	4896	2429	2467	2711	1298	1413	3573	1731	1842
27374	Turiscai	5991	2824	3167	3243	1709	1534	4439	2337	2102	3006	1565	1441	3252	1706	1546
27361	Tutuala	3269	1701	1568	1405	609	796	2235	1022	1213	1115	449	666	1299	528	771
27382	Uatucarbau	6120	3151	2969	3217	1476	1741	4508	2139	2369	2611	1196	1415	3349	1538	1811
27332	Vemase	7692	3764	3928	4493	2207	2286	6501	3271	3230	3862	1891	1971	4995	2467	2528
27333	Venilale	13247	6593	6654	7605	3683	3922	9525	4727	4798	5729	2697	3032	6854	3289	3565
82651	Vera Cruz	28883	13770	15113	6688	3221	3467	13959	6971	6988	4523	2187	2336	9577	4826	4751
27384	Viqueque	20669	10254	10415	10949	5112	5837	15405	7494	7911	8993	4132	4861	11731	5518	6213
27383	Watulari	14410	7305	7105	7823	3560	4263	10890	5200	5690	6668	2975	3693	8123	3699	4424
82647	Zumalai	10013	5027	4986	6257	2995	3262	8425	4147	4278	2520	2520	0	3131	3131	0
