projid_geoid	project_id	proj_cnt	sector_value	year1	year2	year3	commit	comm_p_loc	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	location_type_name	geoname_adm_code	geonames_adm_name	geonames_retrieval_time
87292191147_1966436	87292191147	1	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2010			5000000	5000000	1966436	8	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292371438_1966436	87292371438	1	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011			5000000	5000000	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292374526_1966436	87292374526	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012			2800000	2800000	1966436	8	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292374713_1966436	87292374713	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""11110 - Education policy and administrative management""}]"	2012			999700	999700	1966436	8	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292452091_1966436	87292452091	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2012	2013		7351756.73	7351756.73	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292452212_1966436	87292452212	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2011	2012		1250939.07	1250939.07	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292452213_1966436	87292452213	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""113 - Secondary Education"",""subsubsector"":""""}]"	2011			516802.59	516802.59	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292452214_1966436	87292452214	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2013	2016		1412910.22	1412910.22	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455321_1966436	87292455321	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2011			7592014.24	7592014.24	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455365_1966436	87292455365	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2011	2016		42375	42375	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455366_1966436	87292455366	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2013			3776692.62	3776692.62	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455367_1966436	87292455367	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2011			220064.72	220064.72	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455369_1966436	87292455369	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2011	2013	2017	444250.59	444250.59	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455811_1966436	87292455811	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""111 - Education, level unspecified"",""subsubsector"":""""}]"	2014			21483.11	21483.11	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455928_1966436	87292455928	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""113 - Secondary Education"",""subsubsector"":""""}]"	2012	2013		511350.01	511350.01	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455941_1966436	87292455941	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2011	2013		36540.31	36540.31	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455942_1966436	87292455942	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2012	2013		140983.49	140983.49	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292455943_1966436	87292455943	1	"[{""sector"":""110 - EDUCATION"",""subsector"":""114 - Post-secondary education"",""subsubsector"":""""}]"	2012	2013		93836.7	93836.7	1966436	6	Democratic Republic of Timor-Leste	-8.83333	125.75	PCLI	independent political entity	TL|00	East Timor	2013-03-06T00:00:00+0000
87292491879_1835841	87292491879	1	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011			38000	38000	1835841	6	Republic of Korea	36.5	127.75	PCLI	independent political entity	KR|00	South Korea	2014-01-12T00:00:00+0000
87292491884_1835841	87292491884	1	"[{""sector"":""110 - EDUCATION"",""subsector"":"""",""subsubsector"":""""}]"	2011			38000	38000	1835841	6	Republic of Korea	36.5	127.75	PCLI	independent political entity	KR|00	South Korea	2014-01-12T00:00:00+0000
